status,confidence,reason,not_trade_safe_label,fee_confidence,hypothetical_edge_status,kalshi_ticker,kalshi_event_ticker,kalshi_title,kalshi_market_type,kalshi_event_date,kalshi_threshold,kalshi_close_time,kalshi_determination_time,kalshi_resolution_source,kalshi_void_policy,polymarket_condition_id,polymarket_slug,polymarket_title,polymarket_token_ids,polymarket_market_type,polymarket_event_date,polymarket_threshold,polymarket_end_time,polymarket_resolution_time,polymarket_resolution_source,polymarket_void_policy,polymarket_url,missing_fields,conflicting_fields,matched_tokens,mismatched_fields,rule_evidence_summary,kalshi_rules_excerpt,polymarket_rules_excerpt,unsafe_hypothetical_edge_if_available,needs_determination_time,needs_resolution_source,needs_void_policy,needs_threshold_confirmation,needs_event_date_confirmation,needs_market_type_confirmation,needs_fee_confirmation,needs_liquidity_confirmation
manual_review,0.8247,determination time unverified on at least one venue; resolution source unverified on at least one venue; void policy unknown on at least one venue; UMA challenge window: Polymarket outcome can be disputed post-resolution; not enough verified evidence to accept,NOT TRADE SAFE,market_metadata,not_computed,GOVPARTYSC-26-R,GOVPARTYSC-26,Will the Republican party win the governorship in South Carolina,governor_winner,,,2027-11-03T15:00:00+00:00,2027-01-24T15:00:00+00:00,,,0x1b7fa10e6b102c964bbd4a7cb0a4b7a341e17fcb9f8a2c8a5d6a3b30dfb5c394,will-the-republicans-win-the-south-carolina-governor-race-in-2026,Will the Republicans win the South Carolina governor race in 2026?,115258259561547414610995893322363332894307320697384633557391293684664191320185; 17477959378122758499540906149943925432690452353416410038176243997158408694887,governor_winner,,,,,,,https://polymarket.com/event/south-carolina-governor-winner-2026,determination_time; resolution_source; void_policy,,carolina; south; win,"{""kalshi_unmatched_title_tokens"": [""governorship"", ""party"", ""republican""], ""poly_unmatched_title_tokens"": [""2026"", ""governor"", ""race"", ""republicans""]}","kalshi: source=unverified, void=unknown, policies=[]; polymarket: source=unverified, void=unknown, dispute=[]","If a representative of the Republican party is inaugurated as the governor of South Carolina pursuant to the 2026 election, then the market resolves to Yes.",This market will resolve according to the winner of the 2026 South Carolina gubernatorial election. A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other t,,true,true,true,true,true,false,false,true
manual_review,0.8211,determination time unverified on at least one venue; resolution source unverified on at least one venue; void policy unknown on at least one venue; UMA challenge window: Polymarket outcome can be disputed post-resolution; not enough verified evidence to accept,NOT TRADE SAFE,market_metadata,not_computed,GOVPARTYNH-28-R,GOVPARTYNH-28,Will the Republican party win the governorship in New Hampshire,governor_winner,,,2029-11-07T15:00:00+00:00,2029-01-09T15:00:00+00:00,,,0x01175ab5a40ea7f54b7b0a0aaf3574232e3374091e0bad5a0b9603741ae5d85b,will-the-republicans-win-the-new-hampshire-governor-race-in-2026,Will the Republicans win the New Hampshire governor race in 2026?,74721757099502856629978429446702729437619614092592091000501653336065671742582; 30088412391482363624377816393145245827324760089787001501690465830184683596344,governor_winner,,,,,,,https://polymarket.com/event/new-hampshire-governor-winner-2026,determination_time; resolution_source; void_policy,,hampshire; new; win,"{""kalshi_unmatched_title_tokens"": [""governorship"", ""party"", ""republican""], ""poly_unmatched_title_tokens"": [""2026"", ""governor"", ""race"", ""republicans""]}","kalshi: source=unverified, void=unknown, policies=[]; polymarket: source=unverified, void=unknown, dispute=[]","If a representative of the Republican party is inaugurated as the governor of New Hampshire pursuant to the 2026 election, then the market resolves to Yes.",This market will resolve according to the winner of the 2026 New Hampshire gubernatorial election. A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other th,,true,true,true,true,true,false,false,true
